Id,Region,Product,Year,Sales,Profit,Quantity
1108,East,RAM,2020,5489.19,916.62,83
1109,Northeast,Modem,2021,1552.27,315.18,38
1110,Central,Monitor,2022,12240.51,2447.14,27
1111,Northeast,Switch,2022,3105.12,702.24,53
1112,Southeast,Speaker,2023,2103.35,524.69,39
1113,Southeast,Modem,2020,2151.16,372.12,24
1114,Northwest,Printer,2021,18904.37,4717.02,83
1115,North,Modem,2022,8252.46,1615.63,34
1116,East,Monitor,2022,10635.76,1897.54,20
1117,Southeast,Printer,2024,20894.22,5219.39,20
1118,Southeast,CPU,2021,10569.69,1845.63,83
1119,South,Speaker,2020,3675.42,801.48,70
1120,Northeast,CPU,2020,7022.9,1110.36,81
1121,Northwest,Printer,2024,4664.92,720.19,99
1122,Northwest,Speaker,2024,1777.76,275.32,56
1123,Northeast,Mouse,2020,5951.1,1119.63,152
1124,Central,Phone,2021,20200.44,4751.84,20
1125,Southwest,Router,2022,6463.36,1392.25,35
1126,Central,HardDrive,2023,10348.43,2176.81,65
1127,South,Webcam,2024,2760.64,658.53,80
1128,Central,CPU,2024,11103.3,2134.65,67
1129,East,Switch,2023,1606.26,295.83,79
1130,West,Tablet,2023,24995.61,5060.81,28
1131,Northwest,Switch,2020,7136.88,1176.59,36
1132,Central,Camera,2024,22040.22,3411.23,29
1133,North,SSD,2020,13468.51,2147.53,92
1134,Central,Webcam,2022,6470.39,1296.31,34
1135,Northwest,Phone,2021,14543.51,2786.9,55
1136,Central,Speaker,2024,8254.82,1791.51,99
1137,Central,Speaker,2021,3102.92,697.24,97
1138,Central,Monitor,2023,28152.4,5334.69,10
1139,East,HardDrive,2023,14642.57,3159.45,97
1140,Northwest,Scanner,2024,8367.16,1556.9,70
1141,Central,Keyboard,2021,2322.44,374.36,54
1142,West,Laptop,2021,23636.36,5081.2,37
1143,Southeast,Headphones,2020,3572.13,588.75,158
1144,North,Monitor,2021,16213.34,3153.93,41
1145,Northwest,Laptop,2023,23718.91,4257.14,35
1146,North,Speaker,2020,2257.22,499.54,73
1147,Northwest,CPU,2024,14472.15,2591.64,82
1148,Southwest,HardDrive,2024,12903.48,3142.36,82
1149,West,Mouse,2024,1070.22,194.34,66
1150,Central,Switch,2023,2346.36,572.27,64
1151,Northwest,Switch,2020,2057.34,348.14,64
1152,Northwest,Camera,2024,11909.85,2602.27,97
1153,Northwest,Tablet,2022,22619.38,5277.28,53
1154,Northeast,HardDrive,2021,11370.2,2490.87,31
1155,Northwest,Tablet,2021,12310.45,2452.47,60
1156,Southwest,HardDrive,2022,5906.07,913.7,22
1157,Northeast,Printer,2022,8692.07,2050.86,84
1158,North,Keyboard,2022,5082.89,877.66,193
1159,West,HardDrive,2022,8879.12,2015.0,91
1160,Central,Tablet,2024,34303.58,7568.76,38
1161,Northwest,Monitor,2020,27527.99,6492.17,16
1162,Southeast,Mouse,2024,1583.76,256.26,102
1163,Northeast,Phone,2022,20023.55,4001.49,16
1164,East,Webcam,2022,7257.67,1704.53,76
1165,Southwest,Laptop,2021,21225.26,4255.71,15
1166,Central,Webcam,2023,4847.16,846.05,87
1167,Southwest,Camera,2021,17603.56,3361.06,78
1168,Southeast,Webcam,2020,3902.0,589.18,86
1169,South,Keyboard,2022,3651.33,829.72,161
1170,North,Router,2020,8231.1,1358.92,93
1171,North,SSD,2022,11649.37,2540.58,90
1172,Central,Speaker,2022,1346.39,323.16,98
1173,East,Router,2023,6032.7,1233.34,99
1174,Northwest,Webcam,2023,6316.76,1137.98,24
1175,Southeast,Speaker,2023,7048.71,1677.51,86
1176,Southeast,Scanner,2021,1678.16,304.12,63
1177,East,Laptop,2020,27689.58,4821.7,59
1178,Central,Switch,2024,2373.14,555.69,53
1179,Southeast,Webcam,2020,1428.51,348.75,77
1180,Central,CPU,2020,12173.11,2113.37,94
1181,Southeast,GPU,2021,7775.62,1684.92,93
1182,East,Router,2024,6859.98,1253.9,94
1183,West,Webcam,2023,1520.83,292.87,72
1184,South,Keyboard,2020,5226.16,1032.82,164
1185,South,Webcam,2024,4627.75,934.32,70
1186,Central,CPU,2023,15906.76,3086.04,82
1187,Southwest,Phone,2021,18081.13,3998.01,18
1188,Southeast,SSD,2020,12419.61,2450.83,40
1189,Southeast,Webcam,2020,6258.16,1007.77,67
1190,Central,Mouse,2024,2533.6,457.3,145
1191,Central,Scanner,2023,1546.38,253.94,95
1192,Southwest,Mouse,2022,2872.45,666.16,175
1193,North,Monitor,2024,21628.87,3340.97,40
1194,Central,CPU,2023,10721.01,2117.64,97
1195,East,Tablet,2024,29959.59,5841.91,38
1196,East,Speaker,2020,8212.28,1743.95,69
1197,West,Router,2022,4419.45,959.22,76
1198,Central,Keyboard,2021,7506.0,1598.86,129
1199,Southeast,Monitor,2024,9254.89,1960.84,46
1200,North,CPU,2024,7629.43,1527.9,22
1201,South,RAM,2021,1134.77,193.57,94
1202,Northwest,Keyboard,2024,5350.79,1117.72,175
1203,North,Speaker,2023,2931.44,691.72,60
1204,Southwest,Printer,2020,9578.5,1955.72,56
1205,East,Phone,2022,7509.58,1841.47,53
1206,East,Mouse,2024,3497.06,774.0,126
1207,Southwest,Monitor,2022,11703.29,2134.93,34
1208,South,Mouse,2021,3334.15,695.51,176
1209,Southeast,SSD,2023,4302.64,782.36,90
1210,Southwest,Keyboard,2023,1139.9,197.63,54
1211,Central,RAM,2024,7315.57,1655.5,36
1212,Central,CPU,2023,11509.55,2458.21,46
1213,East,Webcam,2024,2696.96,549.52,74
1214,Southeast,Modem,2020,1052.14,258.94,99
1215,Central,Phone,2020,8969.6,1777.94,48
1216,Central,Router,2022,9690.11,2020.54,85
1217,Central,Mouse,2021,8514.1,1336.66,72
1218,Southwest,Monitor,2021,28848.12,6860.89,23
1219,Southeast,Speaker,2022,5448.77,1227.44,77
1220,Central,Camera,2022,18495.57,4548.05,62
1221,North,Tablet,2020,33406.41,8022.37,53
1222,East,Switch,2024,7449.19,1685.35,88
1223,South,Keyboard,2024,1463.22,338.89,163
1224,South,Webcam,2023,8403.3,1585.49,21
1225,South,Modem,2022,2666.1,458.97,22
1226,Central,Webcam,2021,2194.28,466.34,48
1227,West,HardDrive,2022,3184.99,765.83,97
1228,West,Laptop,2021,26572.44,6297.45,46
1229,Southeast,HardDrive,2021,10331.9,2313.12,97
1230,East,Keyboard,2024,2303.77,374.92,195
1231,West,SSD,2022,6476.57,986.46,88
1232,Central,RAM,2023,1308.18,280.08,26
1233,Northeast,Switch,2023,2713.66,547.7,83
1234,Northeast,SSD,2020,12850.87,2284.8,73
1235,Southeast,Modem,2022,956.1,175.42,93
1236,North,Camera,2023,9547.21,1620.04,62
1237,Central,Keyboard,2020,1468.68,338.98,135
1238,Central,Camera,2020,23547.93,4334.71,26
1239,Northeast,SSD,2021,4331.25,918.04,32
1240,Northwest,CPU,2020,4807.47,1161.83,68
1241,Northeast,Keyboard,2021,1621.13,314.81,127
1242,Southwest,Keyboard,2020,5349.63,830.37,147
1243,Southwest,Monitor,2024,18678.34,3921.66,52
1244,North,Modem,2023,6045.88,1438.88,99
1245,South,Speaker,2020,4979.32,1039.59,33
1246,South,Laptop,2024,11008.24,2576.79,46
1247,East,SSD,2022,9054.04,2014.18,76
1248,East,Camera,2021,5916.54,1071.88,75
1249,Southeast,Webcam,2022,6160.04,1401.71,38
1250,Northwest,Scanner,2024,3379.8,834.9,86
1251,East,Mouse,2021,5905.22,1216.15,63
1252,Southwest,Webcam,2021,2620.31,445.78,28
1253,Northeast,Headphones,2023,6741.53,1326.33,134
1254,Northeast,GPU,2022,8859.16,1421.76,25
1255,Northwest,Camera,2020,12406.05,2439.7,47
1256,West,HardDrive,2022,7890.49,1328.95,20
1257,Northeast,Laptop,2020,15959.25,2577.72,28
1258,Northwest,Headphones,2024,6601.87,1634.17,100
1259,West,Scanner,2021,2976.26,660.38,63
1260,Southeast,Camera,2021,9211.24,2158.08,32
1261,North,Tablet,2023,37042.93,5967.5,23
1262,Central,Modem,2021,5082.92,1098.37,87
1263,Southwest,Keyboard,2020,2324.5,379.08,98
1264,West,RAM,2023,6101.31,1281.0,51
1265,North,GPU,2024,7749.87,1390.47,39
1266,Northeast,Camera,2020,15053.92,3539.93,94
1267,Northwest,Headphones,2020,6990.29,1512.35,66
1268,East,SSD,2023,15268.63,2861.75,86
1269,Northwest,Phone,2022,16520.29,3276.46,41
1270,Northwest,Printer,2024,17982.59,4119.14,24
1271,West,Camera,2021,20980.99,3977.79,59
1272,Southwest,Router,2024,2471.45,463.18,90
1273,South,Tablet,2020,18257.26,3380.47,47
1274,North,Modem,2024,7106.37,1386.56,75
1275,Southwest,Webcam,2023,3172.22,483.67,76
1276,West,Printer,2020,17947.04,3220.63,84
1277,Southeast,RAM,2020,6566.33,1134.49,35
1278,South,Webcam,2020,5254.58,891.52,62
1279,Central,Scanner,2022,3178.53,794.0,89
1280,Central,Laptop,2022,21793.0,4975.62,35
1281,Southwest,CPU,2020,10692.51,2661.66,39
1282,Southwest,Camera,2021,11192.07,2256.13,90
1283,Northwest,Modem,2022,6182.49,1450.29,74
1284,Southwest,Headphones,2023,4947.87,757.08,85
1285,East,Scanner,2020,5823.06,1359.28,63
1286,West,Switch,2023,6787.64,1535.94,88
1287,Central,Speaker,2024,1444.08,221.26,37
1288,East,Speaker,2024,7019.68,1694.38,93
1289,Southwest,Router,2021,3440.27,648.98,80
1290,South,Speaker,2024,5128.81,925.57,41
1291,South,RAM,2021,1448.7,304.71,23
1292,East,Headphones,2020,4099.19,710.41,184
1293,South,Modem,2020,4242.29,709.24,72
1294,Southwest,Phone,2020,8870.4,1754.79,14
1295,Southwest,Headphones,2021,2396.62,555.51,171
1296,East,GPU,2024,8700.39,1742.23,78
1297,Central,Headphones,2020,2578.07,599.29,113
1298,Southeast,Speaker,2024,4710.01,977.86,31
1299,Central,Modem,2022,8544.8,1958.76,70
1300,East,Switch,2021,2891.04,645.64,78
1301,Southwest,Phone,2024,7463.87,1825.43,25
1302,East,Printer,2024,16020.36,2509.98,47
1303,Northwest,Switch,2024,2189.5,345.18,33
1304,Southeast,Speaker,2023,3987.33,680.79,25
1305,Northwest,Laptop,2020,29175.47,6563.71,34
1306,Northeast,Router,2021,3447.35,603.5,37
1307,Northeast,Modem,2023,3921.03,803.19,51
1308,Northwest,Tablet,2023,18045.63,3014.68,11
1309,South,Phone,2022,9615.67,1818.18,14
1310,North,Printer,2021,22775.07,3909.73,24
1311,Southeast,Headphones,2023,5461.69,1165.96,183
1312,South,Router,2022,4246.21,638.91,68
1313,West,Camera,2022,11021.7,1670.93,23
1314,North,Speaker,2021,8106.0,1394.69,32
1315,East,Phone,2020,19621.88,4543.69,30
1316,Southeast,Headphones,2024,2912.48,551.93,159
1317,South,Camera,2021,8528.05,1427.27,71
1318,Northeast,Laptop,2023,14037.3,2198.26,27
1319,Northeast,Mouse,2020,2576.09,584.14,177
1320,South,RAM,2024,2345.3,374.02,61
1321,Southwest,Tablet,2022,13615.88,3245.98,30
1322,Northwest,Keyboard,2022,1124.05,234.37,147
1323,Southeast,Camera,2024,24526.18,3711.53,22
1324,South,Scanner,2021,7245.1,1263.22,30
1325,North,Tablet,2022,28220.24,4661.05,23
1326,North,Camera,2024,24383.01,4458.9,55
1327,Northeast,Mouse,2024,8184.22,1758.01,123
1328,North,Camera,2022,18639.34,3801.14,51
1329,West,GPU,2023,10348.2,2009.99,20
1330,South,HardDrive,2020,5633.88,1403.97,46
1331,East,Keyboard,2021,6232.49,1430.5,102
1332,West,SSD,2020,10157.67,1840.02,45
1333,West,Switch,2021,5215.78,931.2,77
1334,West,Printer,2023,8271.1,1538.08,68
1335,East,HardDrive,2023,10437.01,2332.6,39
1336,Northwest,Laptop,2023,23240.9,5249.79,29
1337,Southeast,Tablet,2024,12067.47,2369.63,39
1338,Central,Router,2024,7133.95,1307.82,80
1339,West,Tablet,2021,6540.13,1308.48,56
1340,Northeast,HardDrive,2023,10617.42,2623.03,67
1341,Southwest,HardDrive,2022,14801.66,2325.69,24
1342,South,Router,2024,2232.77,432.33,52
1343,Northeast,SSD,2023,13490.75,2963.18,69
1344,Southwest,Camera,2021,16737.02,3871.48,100
1345,North,Tablet,2022,33157.68,7231.91,26
1346,West,GPU,2024,14582.81,2205.41,31
1347,Southwest,Router,2024,1584.32,267.56,74
1348,East,Switch,2022,6604.77,1629.85,68
1349,Central,Switch,2020,2325.61,529.47,64
1350,East,Printer,2021,20019.04,3015.71,41
1351,Northwest,Laptop,2020,10618.48,2036.45,36
1352,Central,Switch,2021,2872.7,633.16,45
1353,Northwest,Phone,2024,8053.93,1863.98,21
1354,West,Mouse,2021,7839.67,1379.27,154
1355,Northwest,GPU,2020,11410.77,2046.09,68
1356,South,Printer,2020,14734.18,2556.06,82
1357,South,Laptop,2020,18816.77,2836.11,47
1358,North,Monitor,2021,31603.64,5927.79,43
1359,Central,HardDrive,2023,10403.07,1910.58,63
1360,Northeast,Camera,2022,16495.62,2568.77,65
1361,Northeast,Monitor,2020,24377.02,4636.04,18
1362,North,GPU,2020,13515.86,2972.5,51
1363,Northeast,Modem,2024,6605.53,1304.72,72
1364,West,Laptop,2022,8459.7,2007.85,57
1365,Northeast,Modem,2021,5643.8,1263.76,30
1366,Northeast,Switch,2023,6758.23,1625.49,69
1367,Central,GPU,2021,16550.26,3343.24,93
1368,Southeast,Mouse,2021,5277.32,950.63,190
1369,Northwest,Phone,2023,8303.48,1694.46,25
1370,West,Phone,2020,7868.04,1743.37,20
1371,Northeast,Router,2022,2849.19,617.12,35
1372,East,RAM,2023,1981.27,363.13,48
1373,South,Speaker,2023,7722.12,1718.19,91
1374,Southwest,Camera,2021,11259.36,1787.63,31
1375,Northeast,CPU,2021,4764.02,775.3,60
1376,Southwest,CPU,2020,6623.83,1348.35,69
1377,Southwest,Speaker,2022,7561.55,1736.56,86
1378,West,Monitor,2023,7981.31,1564.82,19
1379,Central,Camera,2023,22516.28,4015.54,24
1380,Northeast,Scanner,2024,5558.78,1387.94,93
1381,Northwest,Headphones,2023,3425.08,642.79,135
1382,East,Headphones,2021,7550.27,1829.55,95
1383,Northwest,Router,2022,7658.92,1798.71,22
1384,Southeast,Router,2022,4475.03,1114.42,70
1385,Southwest,Keyboard,2024,6152.79,1351.38,99
1386,Southeast,Router,2020,1858.64,425.87,26
1387,Central,Modem,2021,6458.39,1418.23,57
1388,East,Headphones,2021,8533.94,1907.61,52
1389,Northeast,CPU,2020,14616.13,3447.11,68
1390,Southwest,Phone,2020,7386.68,1458.04,13
1391,South,SSD,2022,13105.52,2160.53,71
1392,West,Mouse,2020,2732.17,492.53,94
1393,Southwest,Keyboard,2023,7664.21,1360.56,163
1394,Northeast,Laptop,2020,9749.86,1939.46,52
1395,Southeast,Camera,2020,23548.03,4880.64,55
1396,South,CPU,2021,9710.44,2082.5,75
1397,Central,CPU,2021,5393.0,1193.89,88
1398,East,Router,2020,4507.31,917.88,87
1399,Northwest,Keyboard,2024,7663.85,1696.58,81
1400,West,Monitor,2021,27867.65,4194.98,38
1401,Northeast,Monitor,2020,11885.22,2558.46,15
1402,Southeast,Printer,2020,8502.4,1705.71,66
1403,Southeast,Phone,2023,4374.25,676.33,43
1404,Central,RAM,2023,2607.06,572.28,86
1405,Northeast,GPU,2024,9807.45,1568.22,25
1406,West,Mouse,2021,1922.21,448.38,84
1407,Southeast,Headphones,2024,3480.76,775.9,158
1408,South,RAM,2022,3180.57,764.5,71
1409,Northwest,Keyboard,2022,6068.38,1331.72,187
1410,West,Keyboard,2022,6241.93,1056.53,145
1411,Southeast,GPU,2021,10334.94,1877.2,75
1412,Southwest,Laptop,2024,13262.68,2154.68,17
1413,Southeast,Switch,2020,3668.61,683.4,62
1414,Central,Tablet,2021,18696.07,3509.54,24
1415,Southwest,Monitor,2020,13179.38,3130.78,47
1416,Northwest,Monitor,2024,19628.98,4643.04,45
1417,Central,GPU,2020,4292.76,1050.23,69
1418,East,Webcam,2024,5951.61,1398.41,81
1419,East,Printer,2020,24315.67,5246.26,38
1420,Southwest,CPU,2022,4158.01,889.48,67
1421,West,GPU,2023,13665.42,2649.67,65
1422,Northwest,SSD,2022,8164.02,1649.62,49
1423,Central,Keyboard,2022,5430.32,1273.54,70
1424,South,Camera,2020,11165.71,1769.3,56
1425,Southeast,HardDrive,2020,9976.93,2426.83,37
1426,Northwest,HardDrive,2024,15638.77,3734.66,35
1427,Southwest,Laptop,2024,15273.65,3430.34,55
1428,Southwest,RAM,2022,3294.8,712.06,87
1429,North,GPU,2023,7114.28,1694.57,87
1430,West,Phone,2020,17909.38,3606.38,13
1431,Southwest,HardDrive,2023,5283.13,852.29,51
1432,Southeast,Monitor,2022,16822.72,2968.79,10
1433,Southwest,Headphones,2022,5982.85,1431.95,168
1434,Northwest,Mouse,2022,1031.92,188.69,140
1435,South,Laptop,2022,14390.75,2171.37,37
1436,Northwest,Headphones,2020,5090.21,841.77,81
1437,Northwest,Laptop,2021,25827.69,5089.86,33
1438,Central,Webcam,2023,3008.56,532.36,76
1439,Northwest,Phone,2021,16991.3,2558.57,55
1440,West,Monitor,2021,14077.35,2667.02,57
1441,Northeast,Mouse,2021,5551.07,1098.72,118
1442,South,Switch,2023,5773.98,1259.73,36
1443,Northeast,Router,2024,7482.39,1753.17,69
1444,East,Monitor,2020,8152.62,1503.44,10
1445,West,Mouse,2022,4938.96,1105.06,161
1446,Northwest,Scanner,2022,4107.43,792.3,99
1447,East,SSD,2021,6976.03,1126.64,53
1448,West,Switch,2021,4940.28,1141.18,84
1449,East,Headphones,2024,6707.79,1160.03,83
1450,Southwest,Mouse,2022,2776.65,534.87,101
1451,South,Mouse,2023,4585.28,1008.83,109
1452,West,Speaker,2023,4030.64,776.73,26
1453,Central,Monitor,2022,23021.64,4261.36,36
1454,West,Speaker,2020,2020.92,313.67,61
1455,West,Scanner,2023,3534.03,565.71,43
1456,Central,HardDrive,2022,9839.55,1571.27,21
1457,Southeast,Tablet,2022,20258.61,3770.91,59
1458,Southeast,GPU,2022,6869.0,1174.62,69
1459,South,Monitor,2021,32143.96,5208.46,47
1460,West,Headphones,2023,1487.01,304.33,137
1461,Central,HardDrive,2021,14607.61,2255.14,44
1462,Southwest,RAM,2022,7624.55,1835.09,64
1463,Northeast,Modem,2020,3750.47,719.72,84
1464,North,Phone,2024,17329.71,2822.9,12
1465,North,Headphones,2023,6252.73,1482.06,69
1466,East,Modem,2024,4431.04,837.58,97
1467,Central,Headphones,2021,1164.83,200.1,52
1468,Southeast,Modem,2024,6906.93,1214.81,48
1469,Central,Printer,2024,10096.84,1560.58,50
1470,Central,Mouse,2021,4209.85,745.33,63
1471,West,Headphones,2024,1561.62,288.5,144
1472,Northeast,Keyboard,2024,3215.58,613.64,125
1473,Northeast,Mouse,2020,7025.59,1567.04,121
1474,East,Printer,2020,24806.49,5874.13,94
1475,South,Router,2022,6683.49,1370.7,76
1476,West,Speaker,2022,2601.91,600.45,70
1477,East,Modem,2021,7800.61,1457.65,81
1478,South,HardDrive,2021,10057.68,2375.98,44
1479,Northwest,Phone,2022,5080.55,1211.84,35
1480,West,Keyboard,2021,1475.39,288.44,153
1481,South,SSD,2021,16772.36,2535.63,32
1482,Southwest,Router,2020,1992.19,450.92,25
1483,East,Camera,2020,12982.23,2761.82,21
1484,North,Monitor,2024,24252.14,3843.88,18
1485,Northwest,CPU,2023,5060.65,1001.46,51
1486,North,RAM,2022,7421.56,1128.97,25
1487,South,RAM,2022,1938.37,452.9,38
1488,North,Camera,2020,14731.3,2426.8,56
1489,West,Router,2020,4278.16,688.84,33
1490,Central,Webcam,2020,7050.64,1311.77,30
1491,North,GPU,2021,7015.94,1287.32,43
1492,Southwest,Tablet,2022,29760.89,5500.96,16
1493,Central,HardDrive,2022,9274.23,2050.82,29
1494,North,Tablet,2021,20890.01,4066.65,60
1495,Northwest,Keyboard,2020,5321.58,1184.96,87
1496,South,Speaker,2021,2813.22,521.18,83
1497,Southwest,HardDrive,2023,13347.25,2447.17,51
1498,Southwest,Switch,2024,4877.36,971.86,88
1499,West,Router,2020,5842.37,1184.22,48
1500,South,Camera,2022,4894.29,1150.45,66
1501,Southeast,HardDrive,2021,3929.06,726.62,37
1502,Central,Modem,2021,9964.53,2463.05,73
1503,West,Headphones,2021,1492.11,241.31,86
1504,Southwest,Laptop,2023,16470.6,2645.19,47
1505,South,HardDrive,2024,5082.53,948.02,30
1506,West,Keyboard,2020,5941.25,1138.64,96
1507,Northwest,Tablet,2024,16763.96,3725.89,38
1508,North,Scanner,2020,2532.02,542.47,97
1509,East,SSD,2021,3238.12,622.89,78
1510,Southeast,Printer,2024,19124.87,3303.47,40
1511,Central,Keyboard,2024,5301.53,861.57,104
1512,Southwest,GPU,2020,6043.89,1403.7,91
1513,South,Modem,2023,3906.56,744.24,68
1514,East,Mouse,2022,6468.7,1144.91,76
1515,South,Webcam,2024,8515.24,1301.17,56
1516,East,RAM,2020,1479.08,223.49,59
1517,West,RAM,2021,6719.6,1169.44,30
1518,North,CPU,2023,4158.82,662.59,59
1519,North,Webcam,2022,5113.38,927.81,70
1520,Northeast,Tablet,2020,17388.74,3897.6,16
1521,Southeast,Tablet,2020,28297.48,5594.28,12
1522,Central,Phone,2021,22510.27,4785.58,55
1523,West,Headphones,2021,7411.6,1848.02,178
1524,Southeast,GPU,2024,8027.96,1309.52,57
1525,Northeast,GPU,2023,3900.63,887.07,69
1526,West,Headphones,2024,4911.14,811.52,177
1527,South,Laptop,2021,19306.71,4766.72,60
1528,South,HardDrive,2020,10389.5,2528.86,40
1529,South,Printer,2024,17006.61,2671.97,78
1530,Central,HardDrive,2022,12598.26,2066.68,35
1531,Northwest,Mouse,2022,3081.1,726.22,83
1532,Northwest,Webcam,2024,7820.13,1418.29,30
1533,Southwest,SSD,2023,7767.9,1935.18,25
1534,North,Camera,2024,5948.6,954.93,68
1535,East,CPU,2023,4056.21,963.01,31
1536,Northeast,Modem,2023,6015.83,1394.64,33
1537,South,Phone,2020,20356.28,3459.49,31
1538,South,Speaker,2022,6223.04,1370.49,80
1539,South,Printer,2023,6651.28,1628.59,38
1540,West,Speaker,2024,1377.01,313.16,27
1541,Northeast,Switch,2023,2242.98,531.14,74
1542,Central,Printer,2021,8732.28,1549.02,30
1543,Central,Modem,2023,6054.67,1448.93,43
1544,North,Keyboard,2023,4913.45,882.9,100
1545,Northeast,Switch,2023,4702.39,1073.96,75
1546,Northeast,CPU,2023,3061.68,732.9,45
1547,South,CPU,2024,5353.54,1331.09,60
1548,North,Tablet,2023,15396.98,2796.72,60
1549,Southwest,Printer,2024,5613.93,1371.66,36
1550,Northwest,CPU,2020,3113.52,771.85,73
1551,Southeast,Phone,2024,15023.16,2568.6,22
1552,North,Webcam,2022,1313.56,237.36,35
1553,Northwest,Modem,2023,3948.97,919.39,74
1554,Southeast,Speaker,2020,2287.86,428.54,90
1555,East,RAM,2023,4065.22,877.93,75
1556,Central,GPU,2020,5593.37,897.07,22
1557,Southwest,Monitor,2023,30664.2,4905.36,38
1558,Southeast,CPU,2020,12363.49,2374.58,48
1559,Northwest,RAM,2023,1663.24,327.59,35
1560,Northeast,Modem,2023,7669.49,1752.2,70
1561,North,Webcam,2021,5965.21,1419.49,53
1562,Central,Switch,2021,1323.56,253.4,21
1563,North,Tablet,2022,31606.49,6637.19,31
1564,East,CPU,2023,7426.52,1404.62,98
1565,Southwest,Mouse,2024,3786.56,808.91,94
1566,Southwest,Speaker,2024,2139.01,342.15,36
1567,Southeast,Monitor,2024,21947.89,4669.01,26
1568,Southeast,Phone,2022,9667.45,1474.91,10
1569,East,Laptop,2024,30363.04,4793.63,34
1570,North,Tablet,2023,35305.19,6560.13,25
1571,West,Scanner,2021,5666.81,1261.61,68
1572,Central,Mouse,2022,2160.86,459.71,198
1573,South,Monitor,2023,25786.5,4233.72,26
1574,East,Keyboard,2020,5822.3,1404.76,103
1575,Southwest,Monitor,2023,8057.43,1600.62,50
1576,South,Headphones,2023,4754.01,1014.29,165
1577,East,Phone,2022,6244.26,1348.55,50
1578,North,Monitor,2022,23173.29,4898.85,44
1579,North,Phone,2024,17144.84,2902.36,11
1580,Southeast,Laptop,2024,25468.64,4371.2,33
1581,South,Headphones,2020,3467.8,549.11,82
1582,Central,Printer,2023,14878.57,2750.38,90
1583,Central,Modem,2023,5497.97,1044.58,44
1584,Central,Phone,2021,18364.64,2943.66,60
1585,Central,Phone,2021,24902.78,4846.47,48
1586,Central,Speaker,2024,2297.56,443.27,92
1587,Northeast,Webcam,2020,3979.67,610.39,85
1588,Central,CPU,2023,9531.82,2265.95,87
1589,Northeast,Router,2020,1655.85,301.81,43
1590,Northeast,Camera,2020,12015.89,2249.33,60
1591,South,Laptop,2022,9318.4,1596.96,46
1592,Northeast,Camera,2024,6565.41,1379.92,87
1593,West,Monitor,2024,17365.61,4248.1,52
1594,South,CPU,2023,15974.37,2903.79,60
1595,West,Headphones,2020,7182.47,1110.98,120
1596,Southwest,Monitor,2020,19441.24,3551.67,34
1597,West,CPU,2020,6177.04,1410.41,93
1598,North,Modem,2022,2629.25,500.3,88
1599,Southeast,Mouse,2022,5056.27,996.03,156
1600,Central,Printer,2022,19271.7,3963.13,60
1601,Northwest,GPU,2020,8400.75,2086.72,83
1602,South,Webcam,2024,1673.08,258.97,21
1603,East,Monitor,2022,21560.99,3423.92,56
1604,Northeast,RAM,2020,7038.96,1238.64,25
1605,South,Mouse,2022,1580.3,345.76,147
1606,Central,Phone,2021,28752.0,4675.91,19
1607,Southwest,Modem,2020,5053.95,1050.15,82
1608,Central,Speaker,2023,3187.33,722.31,30
1609,Northeast,RAM,2021,6364.49,1499.39,29
1610,South,HardDrive,2020,5858.42,1005.38,69
1611,West,HardDrive,2020,7398.51,1546.68,87
1612,Southeast,Speaker,2022,6369.95,1053.59,84
1613,South,Tablet,2021,20227.12,3949.21,49
1614,Southeast,Headphones,2023,2083.48,400.67,128
1615,South,Tablet,2023,12932.7,2251.02,39
1616,East,Printer,2020,22635.95,4419.99,53
1617,South,RAM,2020,4017.91,663.2,84
1618,Southwest,SSD,2022,3608.4,674.69,26
1619,Southwest,Switch,2021,2920.09,489.6,55
1620,Southeast,GPU,2023,10693.01,2332.32,51
1621,South,Camera,2020,7876.98,1634.65,50
1622,South,RAM,2020,3151.61,668.21,71
1623,Southwest,Router,2020,2857.52,679.95,54
1624,Northwest,Headphones,2021,6402.94,1368.24,123
1625,North,Monitor,2021,31385.32,6660.34,57
1626,Central,Camera,2021,18946.12,3157.65,62
1627,Northwest,Tablet,2020,28105.55,5154.71,21
1628,Central,Keyboard,2021,8218.47,1240.77,140
1629,Northwest,CPU,2020,11681.62,2304.28,25
1630,North,CPU,2022,8122.06,1354.19,38
1631,South,Monitor,2022,19678.88,4397.87,44
1632,Central,HardDrive,2022,10687.62,2487.81,58
1633,Northeast,SSD,2024,9117.91,1992.98,22
1634,East,Switch,2021,7669.85,1424.44,23
1635,West,CPU,2023,7660.5,1217.46,68
1636,South,Printer,2024,23590.25,5605.26,42
1637,Central,Webcam,2022,5118.54,1251.62,55
1638,Central,Headphones,2020,6919.48,1275.45,81
1639,Southwest,Modem,2024,7774.46,1390.39,21
1640,Northwest,Tablet,2023,12365.78,2213.2,45
1641,East,Scanner,2023,3090.05,554.58,78
1642,North,Headphones,2022,9458.88,1469.15,128
1643,North,Switch,2022,8117.8,1258.18,37
1644,Northeast,Scanner,2024,7014.74,1445.56,31
1645,Central,Tablet,2021,26966.07,4262.58,24
1646,North,HardDrive,2022,8931.07,1908.61,74
1647,Southwest,Monitor,2022,17522.18,2931.99,37
1648,Northeast,CPU,2021,14625.08,2559.42,73
1649,Southeast,Headphones,2022,2888.23,596.9,168
1650,Southeast,Phone,2023,16009.35,3244.41,54
